Name,Category,Desired Category
Callaway Rogue St Fairway 14 Stand Bag,Sporting Goods > Outdoor Recreation > Golf > Golf Bags,Sports;Sports/Golf;Sports/Golf/Golf Accessories;
Salmo Slick Shad 7 Swimbait - Lemon Tiger UV,Sporting Goods > Outdoor Recreation > Fishing > Fishing Tackle > Fishing Baits & Lures,Fishing;Fishing/Lures & Baits;
Huk Men's Kona Running Lakes Shirt - Large - Titanium Blue,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Kimonos > Casual Kimonos,Clothing;Clothing/Shirts & Tops;Clothing/Shirts & Tops/Casual Tops;
Salomon Escape Prolink XC Ski Boots,,Winter Sports;Winter Sports/Skiing;Winter Sports/Skiing/Ski Boots;
Howler Brothers Men's Mansfield Shirt - Medium - Irie Paradise / Natural,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Kimonos > Casual Kimonos,Clothing;Clothing/Shirts & Tops;Clothing/Shirts & Tops/Casual Tops;
"Levi's Men's Trucker Jacket Blue, Medium - Mens L.s. Woven Tops at Academy Sports",Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,Clothing;Clothing/Jackets & Coats;
Darn Tough Men's Flash Stripe Crew Lightweight Sock - Medium - Taupe,Apparel & Accessories > Clothing > Underwear & Socks > Socks,Men's Accessories;Men's Accessories/Socks;
"Puma Men's Jackpot 5 Pocket Golf Pants, 100% Polyester in Bright White, Size 36x30",Apparel & Accessories > Clothing > Pants,Sports;Sports/Golf;Sports/Golf/Golf Clothing;
Icebreaker Men's 260 Tech LS Crewe Top - Small - Clove,Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Tops,Clothing;Clothing/Shirts & Tops;Clothing/Shirts & Tops/Casual Tops;
"Beretta | Reversible Bis Jacket in Blue Eclipse/Orange, Polartec/BIS/Primaloft Silver, Size: 3XL",Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Tops,Clothing;Clothing/Jackets & Coats;
Bag Boy T-750 Travel Cover Bag 16008799- Black/Royal,Sporting Goods > Outdoor Recreation > Golf,Sports;Sports/Golf;Sports/Golf/Golf Accessories;
"Nike Men's Dri-Fit Golf Shorts 2023, 100% Polyester in White, Size 38",Apparel & Accessories > Clothing > Shorts,Sports;Sports/Golf;Sports/Golf/Golf Clothing;
Sherpa Men's Tendu Active 1/2 Zip Top - XL - Alloy,,Clothing;Clothing/Shirts & Tops;Clothing/Shirts & Tops/Casual Tops;
Sherpa Men's Norbu Jacket - Large - Black,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,Clothing;Clothing/Jackets & Coats;
BSRabbit BR Block Wappen Hoodie,,Clothing;Clothing/Hoodies & Sweatshirts;
Katin Men's Folk Henley - Large - Grey Green,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Kimonos > Casual Kimonos,Clothing;Clothing/Shirts & Tops;Clothing/Shirts & Tops/Casual Tops;
Eddie Bauer Men's Exploration UPF Bucket Hat,,Men's Accessories;Men's Accessories/Hats & Beanies;
Savage Gear Pulse Tail Shiner LT Swimbait - Green Back,Sporting Goods > Outdoor Recreation > Fishing > Fishing Tackle > Fishing Baits & Lures,Fishing;Fishing/Lures & Baits;
Rcbs Partner Reloading Kit 2,Mature > Weapons > Gun Care & Accessories > Reloading Supplies & Equipment,"Guns, Ammo & Optics;Guns, Ammo & Optics/Ammo & Storage;Guns, Ammo & Optics/Ammo & Storage/Reloading Supplies;"
EMS Men's Glacier Pullover Jacket,Apparel & Accessories,Clothing;Clothing/Jackets & Coats;
Harmony Helix Md Adj. Throttle Mount,,Biking;Biking/Bike Accessories;
"Magpul Remington 870 Sga Cheek Riser Kits - Sga High Cheek Riser, Flat Dark Earth",Mature > Weapons > Gun Care & Accessories > Gun Cleaning,"Guns, Ammo & Optics;Guns, Ammo & Optics/Gun Accessories;Guns, Ammo & Optics/Gun Accessories/Gun Cleaning;"
"Under Armour Men’s Charged Pursuit 3 Twist Running Shoes Gray/White, 8 - Men's Running at Academy Sports",Apparel & Accessories > Shoe Accessories > Shoe Covers,Footwear;Footwear/Running Shoes;
FootJoy Pro|SL Spikeless Golf Shoes 17011304- 8 Medium,Sporting Goods > Outdoor Recreation > Golf,Sports;Sports/Golf;Sports/Golf/Golf Shoes;
Burton Multipath Active BRTN T-Shirt,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Fluids > Vehicle Performance Additives",Clothing;Clothing/Shirts & Tops;Clothing/Shirts & Tops/Tees & Tanks;
"BKL Single 1 Ring, 3/8 or 11mm Dovetail, 0.60 Long, Black",,"Guns, Ammo & Optics;Guns, Ammo & Optics/Gun Accessories;Guns, Ammo & Optics/Gun Accessories/Other Gun Accessories;"
Mountain Khakis Men's Stretch Poplin 10 Inch Short - Classic Fit - 34 - Retro Khaki,Apparel & Accessories > Clothing > Shorts,Clothing;Clothing/Pants & Bottoms;Clothing/Pants & Bottoms/Shorts;
Skechers GO GOLF Arch Fit Walk Spikeless Golf Shoes 17009339- 8.5,Sporting Goods > Outdoor Recreation > Golf,Sports;Sports/Golf;Sports/Golf/Golf Shoes;
Chaco Men's Z/Ronin Boot - 8 - Black,,Footwear;Footwear/Fishing & Water Shoes;
Under Armour Men's ISO-Chill Shore Break 1/2 Zip Top - Medium - Pitch Grey / Halo Grey,Apparel & Accessories > Clothing > Activewear > Bicycle Activewear,Clothing;Clothing/Shirts & Tops;Clothing/Shirts & Tops/Performance Tops;
Under Armour Men's Polartec Maxx Full Zip Jacket - Medium - Black / Black / Black,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,Clothing;Clothing/Jackets & Coats;
Dakine Mini Edge Tuner,,Biking;Biking/Bike Accessories;
"Under Armour Men's Pursuit 3 Running Shoes Black/Black, 12 - Men's Running at Academy Sports",Apparel & Accessories > Shoe Accessories > Shoe Covers,Footwear;Footwear/Running Shoes;
"adidas Men's Zg21 Motion Primegreen Boa Mid Golf Shoes in Navy/Silver Metallic/Cloud White, Size 7.5, Medium",Apparel & Accessories > Shoe Accessories,Sports;Sports/Golf;Sports/Golf/Golf Shoes;
The North Face Sunriser T-Shirt,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Fluids > Vehicle Performance Additives",Clothing;Clothing/Shirts & Tops;Clothing/Shirts & Tops/Tees & Tanks;
Timberland Linden Woods 6in WP Boots,,Footwear;Footwear/Boots;
"Magellan Outdoors Men's Lost Pines Puffer Vest Gray, Small - Men's Ski Outerwear at Academy Sports",Apparel & Accessories > Clothing > Outerwear > Vests,Clothing;Clothing/Vests;
"ASICS Men's GEL-VENTURE 8 Trail Running Shoes Black/Black, 10.5 - Men's Running at Academy Sports",Apparel & Accessories > Shoe Accessories > Shoe Covers,Footwear;Footwear/Running Shoes;
Columbia Pike Lake Snowboard Jacket,,Winter Sports;Winter Sports/Winter Sports Coats & Jackets;
Kavu Canvas Spectator Waist Pack,Luggage & Bags > Luggage Accessories > Travel Pouches,"Men's Accessories;Men's Accessories/Bags, Backpacks & Duffles;"
Helly Hansen Men's Organic Cotton Flannel Shirt - Large - Mellow Grey MTlange,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Kimonos > Casual Kimonos,Clothing;Clothing/Shirts & Tops;Clothing/Shirts & Tops/Casual Tops;
Adidas Terrex Agravic Flow 2 GTX Trail Running Shoes,Apparel & Accessories > Shoe Accessories > Shoe Covers,Footwear;Footwear/Running Shoes;
Scotty SUP Leash Plug Adapter,,Hunting & Shooting;Hunting & Shooting/Dog Supplies & Equipment;
Brownells Ar-15/M16 Mil-Spec Buffer Tube Assembly - M4 Mil-Spec Buffer Tube Assembly,Mature > Weapons > Gun Care & Accessories > Gun Lights,"Guns, Ammo & Optics;Guns, Ammo & Optics/Gun Parts & Kits;Guns, Ammo & Optics/Gun Parts & Kits/Gun Parts;"
FootJoy Coastal Flex Spikeless Golf Shoes 16003608- 7.5 Medium,Sporting Goods > Outdoor Recreation > Golf,Sports;Sports/Golf;Sports/Golf/Golf Shoes;
TenTree Woodgrain Ten T-Shirt,Apparel & Accessories > Clothing > Shirts & Tops,Clothing;Clothing/Shirts & Tops;Clothing/Shirts & Tops/Tees & Tanks;
Volcom Casco Down Puff Jacket,,Clothing;Clothing/Jackets & Coats;
Framed Minnesota Fat Bike,,Biking;Biking/Bikes;Biking/Bikes/Mountain Bikes;
Smartwool Men's Merino Sport Ultra Light Jacket - Small - Black,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,Clothing;Clothing/Jackets & Coats;
adidas Ultimate365 USA Golf Polo 12125094- X-Large White,Sporting Goods > Outdoor Recreation > Golf,Sports;Sports/Golf;Sports/Golf/Golf Clothing;
Cobra Ultralight Pro Stand Bag '22 17007286- Navy Blazer/Ski Patrol,Sporting Goods > Outdoor Recreation > Golf,Sports;Sports/Golf;Sports/Golf/Golf Accessories;
Callaway Epic MAX Fairway Wood '21 15014476- Senior Right-Handed,Sporting Goods > Outdoor Recreation > Golf,"Sports;Sports/Golf;Sports/Golf/Drivers, Woods & Hybrids;"
Gore Wear Men's Explore Shirt - Small - Graystone,Apparel & Accessories > Clothing Accessories > Baby & Toddler Clothing Accessories > Baby Protective Wear,Clothing;Clothing/Shirts & Tops;Clothing/Shirts & Tops/Casual Tops;
"BCG Men’s Lifestyle Cotton Fleece Hoodie Green Light, Large - Men's Athletic Fleece at Academy Sports",Apparel & Accessories > Clothing > Outerwear,Clothing;Clothing/Hoodies & Sweatshirts;
Pinseeker Tour X Premier Stand Bag '21 12101802- Navy/Red,Sporting Goods > Outdoor Recreation > Golf,Sports;Sports/Golf;Sports/Golf/Golf Accessories;
Louis Garneau Men's Element Pant,Apparel & Accessories > Clothing > Outerwear > Rain Pants,Clothing;Clothing/Pants & Bottoms;Clothing/Pants & Bottoms/Other Pants;
"Ataman M2R .177 Magazine, 12-rd",Mature > Weapons > Guns,"Guns, Ammo & Optics;Guns, Ammo & Optics/Gun Parts & Kits;Guns, Ammo & Optics/Gun Parts & Kits/Gun Parts;"
Obermeyer Men's Boulder Fleece Top - XL - Black,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Kimonos > Casual Kimonos,Clothing;Clothing/Jackets & Coats;
The North Face Camp Pullover Hoodie,,Clothing;Clothing/Hoodies & Sweatshirts;
Z-Man OG Mushroom Jigheads - 3/32oz - Green Pumpkin,Sporting Goods > Outdoor Recreation > Fishing > Fishing Tackle > Fishing Baits & Lures,Fishing;Fishing/Lures & Baits;
Mountain Hardwear Scrambler  25 Backpack-,Apparel & Accessories > Clothing,"Camping, Backpacking & Hiking;Camping, Backpacking & Hiking/Camping Backpacks;"
VonZipper Rockford Sunglasses,Apparel & Accessories > Clothing Accessories > Sunglasses,Men's Accessories;Men's Accessories/Sunglasses;
Strike King Rage Twin Tail Menace Grub - Hard Candy,Sporting Goods > Outdoor Recreation > Fishing > Fishing Tackle > Fishing Baits & Lures,Fishing;Fishing/Lures & Baits;
Sun Mountain Cirrus Waterproof Rain Pants 11518654- Medium Black,Sporting Goods > Outdoor Recreation > Golf,Sports;Sports/Golf;Sports/Golf/Golf Clothing;
BSRabbit IVT Cargo Bib Snowboard Pants,Apparel & Accessories > Clothing > Pants,Winter Sports;Winter Sports/Winter Sports Pants;
Hurley Hybrid Knot Surf Shirt,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Fluids > Vehicle Performance Additives",Clothing;Clothing/Shirts & Tops;Clothing/Shirts & Tops/Tees & Tanks;
Salomon Stance 84 Skis,,Winter Sports;Winter Sports/Skiing;Winter Sports/Skiing/Skis;
Zero Restriction Z2000 Golf Pants 12157588- XX-Large Navy,Sporting Goods > Outdoor Recreation > Golf,Sports;Sports/Golf;Sports/Golf/Golf Clothing;
Cleveland Rtx Zipcore Wedges in Black | Right,Sporting Goods > Outdoor Recreation > Golf > Golf Clubs,Sports;Sports/Golf;Sports/Golf/Wedges;
Lange XT3 Free 95 MV GW Ski Boots,,Winter Sports;Winter Sports/Skiing;Winter Sports/Skiing/Ski Boots;
PUMA Grip Fusion Sport 2.0 Spikeless Golf Shoes 12120280- 7.5 Medium,Sporting Goods > Outdoor Recreation > Golf,Sports;Sports/Golf;Sports/Golf/Golf Shoes;
Troy Lee Designs A1 Helmet,,Biking;Biking/Bike Protection;
"Beretta | Wood Plain Collar Shirt in Grey/Tan, Cotton/Silaid Silver, Size: 2XL",Apparel & Accessories > Clothing > Shirts & Tops,Clothing;Clothing/Shirts & Tops;Clothing/Shirts & Tops/Casual Tops;
Prana Men's Hillgard Jean - 32x32 - Vintage Black Wash,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Kimonos > Casual Kimonos,Clothing;Clothing/Pants & Bottoms;Clothing/Pants & Bottoms/Jeans;
Columbia Men's Silver Ridge Lite Long Sleeve Shirt - XXL - Fossil,Apparel & Accessories > Clothing > Shirts & Tops,Clothing;Clothing/Shirts & Tops;Clothing/Shirts & Tops/Casual Tops;
"Callaway Men's Allover Chevron Golf Polo, Polyester/Elastane in Dark Purple/Dark Grey Logo, Size 2XL",Apparel & Accessories > Clothing > Shirts & Tops,Sports;Sports/Golf;Sports/Golf/Golf Clothing;
Columbia Backcast III 8in Hybrid Shorts,Apparel & Accessories > Clothing > Shorts,Clothing;Clothing/Pants & Bottoms;Clothing/Pants & Bottoms/Shorts;
PUMA Grip Fusion Pro 3.0 Spikeless Golf Shoes 16004055- 10 Medium,Sporting Goods > Outdoor Recreation > Golf,Sports;Sports/Golf;Sports/Golf/Golf Shoes;
Woolrich Men's Seaport Oxford Yarn-Dye SS Shirt - Small - Fern,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Kimonos > Casual Kimonos,Clothing;Clothing/Shirts & Tops;Clothing/Shirts & Tops/Casual Tops;
"Puma Junior Girls Cloudspun Three Brush Sleeveless Golf Polo, Polyester/Elastane in High Rise/Bright White, Size XL",Apparel & Accessories > Clothing > Shirts & Tops,Sports;Sports/Golf;Sports/Golf/Golf Clothing;
Smartwool Men's Saturnsphere Crew Sock - Large - Liberty,Apparel & Accessories > Clothing > Underwear & Socks > Socks,Men's Accessories;Men's Accessories/Socks;
FootJoy FLEX XP Spikeless Golf Shoes 13000952- 8 Medium White,Sporting Goods > Outdoor Recreation > Golf,Sports;Sports/Golf;Sports/Golf/Golf Shoes;
Walther PPQ / P99 Q CO2 pistol 0.177,Mature > Weapons > Guns,"Guns, Ammo & Optics;Guns, Ammo & Optics/Guns;Guns, Ammo & Optics/Guns/Pistols & Handguns;"
Pub PC 27.5-53-AM-32 Bike Rim,,Biking;Biking/Bike Components;
"Nike Dri-Fit UV Chino Pants 14022900- Obsidian 30"" 38""",Sporting Goods > Outdoor Recreation > Golf,Sports;Sports/Golf;Sports/Golf/Golf Clothing;
"Columbia Sportswear Men’s Flow Centre Shoes Gray Dark, 9.5 - Men's Outdoor at Academy Sports",Apparel & Accessories > Shoe Accessories > Shoe Covers,"Camping, Backpacking & Hiking;Camping, Backpacking & Hiking/Tents & Shelters;"
Cleveland RTX ZipCore Tour Raw Wedge 13016459- Right-Handed Mid Grind,Sporting Goods > Outdoor Recreation > Golf,Sports;Sports/Golf;Sports/Golf/Wedges;
Shimano SLX Baitcasting Rod - SLXCX72M,Sporting Goods > Outdoor Recreation > Fishing > Fishing Rods,"Fishing;Fishing/Rods, Reels & Combos;"
O'Brien 2-Person Tube Rope,,Water Sports;Water Sports/Water Sports Accessories;
"Nike Men's Air Monarch IV Training Shoes Black, 11.5 - Men's Training at Academy Sports - 416355-001",Apparel & Accessories > Shoe Accessories > Shoe Covers,Footwear;Footwear/Athletic & Sneaker Shoes;
"5.11 Tactical Men's Peninsula Insulator Packable Jacket (Black), Size S, (CCW Concealed Carry)",Apparel & Accessories > Clothing > Outerwear,Clothing;Clothing/Jackets & Coats;
"5.11 Tactical Men's Engage Fleece Full Zip (Dark Navy), Size M",Apparel & Accessories,Clothing;Clothing/Jackets & Coats;
Prana Men's Altitude Tracker Hoodie - Small - Black,Apparel & Accessories > Clothing > Activewear > Bicycle Activewear,Clothing;Clothing/Hoodies & Sweatshirts;
Berkley Hit Stick - 1-3/8in - Purple Glimmer,Sporting Goods > Outdoor Recreation > Fishing > Fishing Tackle > Fishing Baits & Lures,Fishing;Fishing/Lures & Baits;
"adidas Men’s Varilite Hybrid Fleece Jacket Black, Small - Men's Athletic Fleece at Academy Sports",Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,Hunting & Shooting;Hunting & Shooting/Hunting Clothing;Hunting & Shooting/Hunting Clothing/Hunting Jackets & Outerwear;
Imperial Motion Mazama Snowboard Pants,Apparel & Accessories > Clothing > Pants,Winter Sports;Winter Sports/Winter Sports Pants;
Roark Men's Layover Insulated Pant,Apparel & Accessories > Clothing > Outerwear > Rain Pants,Clothing;Clothing/Pants & Bottoms;Clothing/Pants & Bottoms/Other Pants;
PackTowl Personal Body and Face Set,Sporting Goods > Outdoor Recreation > Camping & Hiking > Camping Tools,"Camping, Backpacking & Hiking;Camping, Backpacking & Hiking/Camping Accessories;"
Brixton Men's Crest L/S Standard Tee - Small - Black/Cream,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Kimonos > Casual Kimonos,Clothing;Clothing/Shirts & Tops;Clothing/Shirts & Tops/Casual Tops;
PUMA IGNITE PWRADAPT Caged Crafted Golf Shoes 13012987- 10 Medium Puma,Sporting Goods > Outdoor Recreation > Golf,Sports;Sports/Golf;Sports/Golf/Golf Shoes;
The North Face Valley Twill Flannel,Apparel & Accessories > Clothing > Shirts & Tops,Clothing;Clothing/Shirts & Tops;Clothing/Shirts & Tops/Casual Tops;
Prana Men's Riveter 7 Inch Boardshort - 35 - Manzanita,Apparel & Accessories > Clothing > Swimwear,Clothing;Clothing/Swimwear;
XXIO Eleven Fairway Wood 15002800- Regular Left-Handed Stock Graphite,Sporting Goods > Outdoor Recreation > Golf,"Sports;Sports/Golf;Sports/Golf/Drivers, Woods & Hybrids;"
Haglofs Men's Discover Touring Pant,Apparel & Accessories > Clothing > Outerwear > Rain Pants,Clothing;Clothing/Pants & Bottoms;Clothing/Pants & Bottoms/Other Pants;
SRAM PG-1030 Cassette - 10 Speed,,Biking;Biking/Bike Components;
"Magellan Outdoors Men’s Happy Action T-Shirt Gray Light, Medium - Men's Outdoor Graphic Tees at Academy Sports",Apparel & Accessories > Clothing > Shirts & Tops,Clothing;Clothing/Shirts & Tops;Clothing/Shirts & Tops/Tees & Tanks;
Toad & Co Hillrose L/S Shirt,Apparel & Accessories > Clothing > Shirts & Tops,Clothing;Clothing/Shirts & Tops;Clothing/Shirts & Tops/Tees & Tanks;
Outdoor Research Equinox Sun Hat,,Men's Accessories;Men's Accessories/Hats & Beanies;
Smartwool Men's Classic Thermal Plant-Based Dye Merino Base Layer Logo - Medium - Flint Marble Wash,Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Tops,Clothing;Clothing/Hoodies & Sweatshirts;
Craft Sportswear Men's Pro Hypervent Singlet - XL - Calm / Ash,,Clothing;Clothing/Shirts & Tops;Clothing/Shirts & Tops/Tees & Tanks;
Obey Staple T-Shirt,Apparel & Accessories > Clothing > Shirts & Tops,Clothing;Clothing/Shirts & Tops;Clothing/Shirts & Tops/Tees & Tanks;
"Puma Junior Boys Cloudspun Monarch Golf Polo, Polyester/Elastane in Navy Blazer Heather, Size S",Apparel & Accessories > Clothing > Shirts & Tops,Sports;Sports/Golf;Sports/Golf/Golf Clothing;
Eagles Nest Outfitters DoubleNest Hammock,Sporting Goods > Outdoor Recreation > Camping & Hiking > Camp Furniture,"Camping, Backpacking & Hiking;Camping, Backpacking & Hiking/Camp Furniture;"
Alpina Adventurer 75mm XC Ski Boots,,Winter Sports;Winter Sports/Skiing;Winter Sports/Skiing/Ski Boots;
Salomon StormFluff Ski Jacket,,Winter Sports;Winter Sports/Winter Sports Coats & Jackets;
Endura Men's MT500 Spray Short - XL - Cocoa,Apparel & Accessories > Clothing > Shorts,Clothing;Clothing/Pants & Bottoms;Clothing/Pants & Bottoms/Shorts;
RVCA Back In Hybrid Shorts,Apparel & Accessories > Clothing > Shorts,Clothing;Clothing/Pants & Bottoms;Clothing/Pants & Bottoms/Shorts;
Columbia Toddler Boys' Zing III Fleece Jacket - 4T - Ancient Fossil Trad Camo,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,Clothing;Clothing/Jackets & Coats;
K2 Mindbender 95 MV Ski Boots,,Winter Sports;Winter Sports/Skiing;Winter Sports/Skiing/Ski Boots;
"Beretta | Wood Button Down Shirt in Beige/Red, Cotton, Size: Medium",Apparel & Accessories > Clothing > Shirts & Tops,Clothing;Clothing/Shirts & Tops;Clothing/Shirts & Tops/Casual Tops;
"adidas Men's Codechaos 21 Golf Shoes in White/Grey Four/Grey Two, Size 8.5, Medium",Apparel & Accessories > Shoe Accessories,Sports;Sports/Golf;Sports/Golf/Golf Shoes;
Columbia Men's Helvetia Half Snap Fleece Top - Medium - Impulse Blue,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Kimonos > Casual Kimonos,Clothing;Clothing/Jackets & Coats;
Rock Creek Stuga 6 Tent,Toys & Games > Outdoor Play Equipment > Play Tents & Tunnels,"Camping, Backpacking & Hiking;Camping, Backpacking & Hiking/Tents & Shelters;"
"adidas Men's Solarmotion Spikeless Golf Shoes in White/Core Black/Pulse Lime, Size 9, Medium",Apparel & Accessories > Shoe Accessories,Sports;Sports/Golf;Sports/Golf/Golf Shoes;
"Columbia Sportswear Columbia Men's Flow District Shoes Gray Dark, 12 - Men's Outdoor at Academy Sports",Apparel & Accessories > Shoe Accessories > Shoe Covers,Footwear;Footwear/Hiking Shoes;
Liquid Force Vale 4D Wakeboard Bindings,,Water Sports;Water Sports/Water Sports Accessories;
Smartwool Men's Hike Light Cushion Striped Mid Crew Socks,Apparel & Accessories,Men's Accessories;Men's Accessories/Socks;
"Columbia Sportswear Men's Steens Mountain 1/2 Zip Pullover Black, X-Large - Men's Longsleeve Outdoor Tops at Academy Sports",Apparel & Accessories > Clothing > Shirts & Tops,Clothing;Clothing/Hoodies & Sweatshirts;
FootJoy Flex LE2 Spikeless Golf Shoes 13008126- 7.5 Wide Gray,Sporting Goods > Outdoor Recreation > Golf,Sports;Sports/Golf;Sports/Golf/Golf Shoes;
"PUMA Jackpot 5 Pocket Golf Pants 14032964- Black 34"" 32""",Sporting Goods > Outdoor Recreation > Golf,Sports;Sports/Golf;Sports/Golf/Golf Clothing;
"Beretta | Bdu Field Jacket in Olive Drab, Cotton/Velcro/Nylon, Size: XL",Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Tops,Clothing;Clothing/Jackets & Coats;
"adidas Men's Zg21 Motion Primegreen Boa Mid Golf Shoes in Navy/Silver Metallic/Cloud White, Size 11, Medium",Apparel & Accessories > Shoe Accessories,Sports;Sports/Golf;Sports/Golf/Golf Shoes;
"Greg Norman Collection Men's Ace Full Zip Fleece Golf Vest, 100% Polyester in Navy, Size XL",Apparel & Accessories > Clothing > Outerwear > Vests,Sports;Sports/Golf;Sports/Golf/Golf Clothing;
Titleist Men's Vokey Sm8 Wedges Steel Parent | Right,Sporting Goods > Outdoor Recreation > Golf > Golf Clubs,Sports;Sports/Golf;Sports/Golf/Wedges;
Enrico Puglisi EP Crab Saltwater Fly - #8 - Tan,Sporting Goods > Outdoor Recreation > Fishing,Fishing;Fishing/Fly Fishing;
KEEN Men's NXIS Evo Waterproof Shoe - 9.5 - Brindle/Canteen,,Footwear;Footwear/Hiking Shoes;
Salomon Men's Predict Soc 3 Shoe - 9 - Blazing Orange / Quiet Shade / Alloy,,Footwear;Footwear/Athletic & Sneaker Shoes;
Callaway Rogue St Max Os Hybrids | Left,Sporting Goods > Outdoor Recreation > Golf > Golf Clubs,"Sports;Sports/Golf;Sports/Golf/Drivers, Woods & Hybrids;"
Herschel Supply Co Men's Ashland Pant - XL - Black,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Kimonos > Casual Kimonos,Clothing;Clothing/Pants & Bottoms;Clothing/Pants & Bottoms/Casual Pants;
"Under Armour Men's Rival Fleece Hoodie Navy Blue, X-Small - Men's Athletic Fleece at Academy Sports",Apparel & Accessories > Clothing > Outerwear,Clothing;Clothing/Hoodies & Sweatshirts;
Helly Hansen Men's Verglas Down Insulator Jacket - Large - Arrowwood,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,Clothing;Clothing/Jackets & Coats;
"Olympia Shot Pointed Pellets, .177cal, Heavy, 9.41gr, 500ct 0.177",Mature > Weapons > Gun Care & Accessories > Ammunition,"Guns, Ammo & Optics;Guns, Ammo & Optics/Ammo & Storage;Guns, Ammo & Optics/Ammo & Storage/Ammo;"
"Hatsan Sortie Tact Semi-Auto PCP Air Pistol, Synthetic 0.25",Mature > Weapons > Guns,"Guns, Ammo & Optics;Guns, Ammo & Optics/Airguns & Blowguns;"
HO Phoenix CGA Wakeboard Vest,Apparel & Accessories > Clothing > Outerwear > Vests,Water Sports;Water Sports/Water Sports Accessories;
Tecnica Mach Sport HV 100 Ski Boots,,Winter Sports;Winter Sports/Skiing;Winter Sports/Skiing/Ski Boots;
Stolen/Fiction Frame Brake Kit M10X1.25,,Biking;Biking/Bike Components;
Srixon Zx Fairway Woods | Right,Sporting Goods > Outdoor Recreation > Golf > Golf Clubs,"Sports;Sports/Golf;Sports/Golf/Drivers, Woods & Hybrids;"
"Puma Men's Cloudspun Legends Golf Polo, Polyester/Elastane in Bright Cobalt, Size 2XL",Apparel & Accessories > Clothing > Shirts & Tops,Sports;Sports/Golf;Sports/Golf/Golf Clothing;
Columbia Delta Ridge Down Vest,Apparel & Accessories > Clothing > Outerwear > Vests,Clothing;Clothing/Vests;
GrovTec GT 1  sling swivel,Mature > Weapons > Gun Care & Accessories > Gun Slings,"Guns, Ammo & Optics;Guns, Ammo & Optics/Gun Parts & Kits;Guns, Ammo & Optics/Gun Parts & Kits/Gun Parts;"
Chamonix Miage Snowboard Boots,,Winter Sports;Winter Sports/Snowboarding;Winter Sports/Snowboarding/Snowboarding Boots;
Columbia Men's Outdoor Tracks Full Zip Jacket - Large - City Grey / Shark,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,Clothing;Clothing/Jackets & Coats;
"Wilson Combat 1911 10-Round Elite Tactical Magazines - Etm 9mm 1911 Magazine Gen 2, Pack Of 3",Mature > Weapons > Gun Care & Accessories,"Guns, Ammo & Optics;Guns, Ammo & Optics/Gun Accessories;Guns, Ammo & Optics/Gun Accessories/Other Gun Accessories;"
"Under Armour Junior Boys Showdown Golf Shorts, 100% Polyester in Black, Size Youth Small",Apparel & Accessories > Clothing > Shorts,Sports;Sports/Golf;Sports/Golf/Golf Clothing;
KEEN Men's NXIS Speed Mid Shoe - 11 - Black / Magnet,,Footwear;Footwear/Hiking Shoes;
"FootJoy Men's Hyperflex Golf Shoes in Grey/Charcoal/Red, Size 10.5, Medium",Apparel & Accessories > Shoe Accessories,Sports;Sports/Golf;Sports/Golf/Golf Shoes;
The North Face Men's Paramount Active Pant - 36 Regular - New Taupe Green / New Taupe Green,Apparel & Accessories > Clothing > Pants,Clothing;Clothing/Pants & Bottoms;Clothing/Pants & Bottoms/Casual Pants;
Framed Counsel BMX Bike,Sporting Goods > Exercise & Fitness > Cardio > Cardio Machines > Exercise Bikes,Biking;Biking/Bikes;Biking/Bikes/Mountain Bikes;
Ride Concepts Men's Wildcat Shoe - 11.5 - Lime,Sporting Goods > Outdoor Recreation > Cycling > Cycling Apparel & Accessories > Bicycle Shoe Covers,Biking;Biking/Bike Accessories;
