,Pid,Name,ShortDescription,Description,CategoryId,Category,ImageURL,Dudedeals Category (Dudedeals Classification),Price,PriceCurrency,SalePrice,FinalPrice,IsInStock,Keywords,Brand,Manufacturer,MPN,UPCorEAN,SKU,Color,Gender,Size,Condition,DeepLinkURL,LinkUrl
27583,161802.156074.AEDE266FF88FCAD6.F111F2A8499663E8.193573916240,Volcom Lil Fleece Shorts,,"The Lived in Lounge fleece short is part of Volcom';s best selling collection for good reason. These buttery soft shorts are so cute and comfy you might never want to take them off. Pull on elasticated waist short with lace up detail at front  Side panels on reverse  Stone metal badge at hip  2.25"" inseam  63% Cotton / 34% Viscose / 3% Elastane, 260GSM",207,Apparel & Accessories > Clothing > Shorts,https://images.the-house.com/volcom-lil-fleece-shorts-wmns-black-22-thumb.jpg,Clothing;Clothing/Pants & Bottoms;Clothing/Pants & Bottoms/Shorts;,35,,16.82,16.82,TRUE,,,Volcom,B0922105-BLKI,,193573916240,Black,,,New,https://www.the-house.com/volfwblar257zz-volcom-shorts,https://track.flexlinks.com/p.ashx?foc=101&fopid=1336554.161802.156074.AEDE266FF88FCAD6.F111F2A8499663E8.193573916240
35527,161802.156074.AEDE266FF88FCAD6.BF563CFB2A6E0.8809883162223,BSRabbit Pot-X Reflective Jogger Snowboard Pants,,BSRabbit Pot-X Reflective Jogger Snowboard Pants,204,Apparel & Accessories > Clothing > Pants,https://images.the-house.com/bsrabbit-pot-x-reflective-jogger-pants-khaki-23-0-thumb.jpg,Winter Sports;Winter Sports/Winter Sports Pants;,190,,130.95,130.95,TRUE,,,BSRabbit,BSR2223FWPT024,,8809883162223,Khaki,,,New,https://www.the-house.com/bsprjmbclar022zz-bsrabbit-snowboard-pants,https://track.flexlinks.com/p.ashx?foc=101&fopid=1336554.161802.156074.AEDE266FF88FCAD6.BF563CFB2A6E0.8809883162223
39071,161802.156074.AEDE266FF88FCAD6.845946BF60416D2B.3607683505401,Rossignol Experience 88 Ti Skis,,Rossignol Experience 88 Ti Skis,,,https://images.the-house.com/rossignol-experience-88-ti-skis-wmns-21-thumb.jpg,Winter Sports;Winter Sports/Skiing;Winter Sports/Skiing/Skis;,649.95,,397.4,397.4,TRUE,,,Rossignol,RAJFJ03  000173,,3607683505401,,,,New,https://www.the-house.com/roe8tw173401zz-rossignol-skis,https://track.flexlinks.com/p.ashx?foc=101&fopid=1336554.161802.156074.AEDE266FF88FCAD6.845946BF60416D2B.3607683505401
19796,185820.156074.2CC37263ACDC24EF.9E51441CE0CE2533.133663553,"The North Face Men's Geo NSE Graphic T-Shirt Aqua/Turquoise, Medium - Men's Outdoor Graphic Tees at Academy Sports",,"The The North Face Men's Geo NSE Graphic T-shirt is made with cotton jersey knit fabric and features stylish screenprinted graphics. The North Face Men's Geo NSE Graphic T-Shirt Aqua/Turquoise, Medium - Men's Outdoor Graphic Tees at Academy Sports",212,Apparel & Accessories > Clothing > Shirts & Tops,https://academy.scene7.com/is/image/academy/20970103?wid=800&hei=800,Clothing;Clothing/Shirts & Tops;Clothing/Shirts & Tops/Tees & Tanks;,25,,17,17,TRUE,,,The North Face,NF0A7UOM863,196012473557,133663553,Aqua/Turquoise,,,New,https://www.academy.com/p/the-north-face-mens-geo-nse-graphic-t-shirt?sku=aqua-or-turquoise-01-medium,https://track.flexlinks.com/p.ashx?foc=101&fopid=1336554.185820.156074.2CC37263ACDC24EF.9E51441CE0CE2533.133663553
33356,161802.156074.AEDE266FF88FCAD6.23A3EED3297FC671.7040056487854,Helly Hansen Odin Stretch Hooded Insulator Jacket,,"We paired ultrawarm and lightweight Primaloft® Gold Active + insulation with stretchy fabric to make the most comfortable insulated jacket. It will keep you snug in the cold no matter what adventure you embark on. Shell: 100% Polyamide  Shell 2: 50% Polyamide, 41% Polyester, 9% Elastane  Lining: 86% Polyester, 14% Elastane  Insulation: 55% Recycled polyester, 45% Polyester  YKK ZIPPER  PrimaLoft® GOLD Active+  Lightweight 30D fabric  4-way stretch fabric  Stretch lining  Durable Water Repellency (DWR) treatment  Primaloft® Gold Active + 80g stretch Insulation  Weight: 570g",,,https://images.the-house.com/helly-hansen-odin-stretch-hooded-insulator-jacket-black-23-0-thumb.jpg,Clothing;Clothing/Jackets & Coats;,280,,209.95,209.95,TRUE,,,Helly Hansen,62833_991-M,,7040056487854,Black,,,New,https://www.the-house.com/heoshmdfmed734zz-helly-hansen-casual-jackets,https://track.flexlinks.com/p.ashx?foc=101&fopid=1336554.161802.156074.AEDE266FF88FCAD6.23A3EED3297FC671.7040056487854
40988,161802.156074.AEDE266FF88FCAD6.CB52B1A272D667EF.7312590960125,2117 Of Sweden Sala Snowboard Pants,,2117 Of Sweden Sala Snowboard Pants,204,Apparel & Accessories > Clothing > Pants,https://images.the-house.com/2117-of-sweden-sala-pants-black-23-0-thumb.jpg,Winter Sports;Winter Sports/Winter Sports Pants;,220,,82.95,82.95,TRUE,,,2117 of Sweden,7522923,,7312590960125,Black,,,New,https://www.the-house.com/21smbmed101zz-2117-of-sweden-snowboard-pants,https://track.flexlinks.com/p.ashx?foc=101&fopid=1336554.161802.156074.AEDE266FF88FCAD6.CB52B1A272D667EF.7312590960125
48663,163572.156074.BE8E64811E10C72A.2FE5E0D64B39B2A3.4931701,Save The Duck Boy's Signature Lightweight Vest - 6 - 1187 Iceberg Blue,,"Features of the Save The Duck Boy's Signature Lightweight Vest Horizontal baffles Soft, warm, polyester lining Invisible zip side pockets Comes with bag for easy transport Nylon material dries quickly",1831,Apparel & Accessories > Clothing > Outerwear > Vests,https://s7ondemand1.scene7.com/is/image/MoosejawMB/10419437x1188779_zm?$product1000$,Clothing;Clothing/Vests;,197.95,,78.99,78.99,TRUE,,,Save The Duck,S8243U-GIGA7,8052648905065,4931701,1187 Iceberg Blue,male,6,New,https://www.moosejaw.com/product/save-the-duck-boy-s-signature-lightweight-vest_10419437,https://track.flexlinks.com/p.ashx?foc=101&fopid=1336554.163572.156074.BE8E64811E10C72A.2FE5E0D64B39B2A3.4931701
927,168622.1.9610.3E74376501793C21.SCO-0203,Scotty 1158 Depthpower Downrigger Accessory Kit,"The Scotty 1158 Depthpower Downrigger Accessory Kit contains essential replacement and repair items to ""keep you fishing"" when using Scotty downriggers. These accessories fit conveniently in a 1 Liter Watertight Emergency Container and include:1 x Single Drive Belt for Depthpower Downriggers1 x Snubber2 x Soft Stop Bumpers2 x Large Coastlock Snaps4 x Stopper Beads for Stainless Steel Line4 x Stopper Beads for Braided Line1 x Mounting Knob (for Downrigger Swivel Mounts and Rod Holders)1 x Scotty","The Scotty 1158 Depthpower Downrigger Accessory Kit contains essential replacement and repair items to ""keep you fishing"" when using Scotty downriggers. These accessories fit conveniently in a 1 Liter Watertight Emergency Container and include:1 x Single Drive Belt for Depthpower Downriggers1 x Snubber2 x Soft Stop Bumpers2 x Large Coastlock Snaps4 x Stopper Beads for Stainless Steel Line4 x Stopper Beads for Braided Line1 x Mounting Knob (for Downrigger Swivel Mounts and Rod Holders)1 x Scotty Decal",3334,Sporting Goods > Outdoor Recreation > Fishing,https://i.tackledirect.com/images/imgfull/scotty-1158-depthpower-downrigger-accessory-kit.jpg,Fishing;Fishing/Terminal Tackle;,36.49,USD,29.19,29.19,TRUE,,Scotty,Scotty,1158,62017011585,SCO-0203,,,,,https://www.tackledirect.com/scotty-1158-depthpower-downrigger-accessory-kit.html,https://track.flexlinks.com/p.ashx?foc=101&fopid=1336554.168622.1.9610.3E74376501793C21.SCO-0203
100295,213318.2.AB88E2261667EF7F.8D630DF7BD17E1B3.841538148488,Tour Edge Hot Launch E522 Driver 16010580- Senior Right-Handed,,"Tour Edge Hot Launch E522 Driver The Extreme Game Improvement Hot Launch E522 Driver is all about ease of use. The 460cc driver made from premium 6-4 Titanium features extreme Moment of Inertia properties with a major emphasis on ease of launch, playability and correcting miss-hits and slices to go straighter. Features:  Houdini Sole Technology - The Houdini Sole design innovation pushes weight back as much as possible in a driver design. This design created extra mass to precisely position weight in the head for an ultra-low and deep Center of Gravity, optimizing launch conditions and greatly improving forgiveness off the face. High Moment of Inertia - An extremely high MOI rating surpassing 5000 grams per cubic cm2, makes the E522 Driver an extremely stable and powerful driver. This increased MOI will improve ball speed on miss-hits and will keep shots straighter, while the back and low CG positioning creates high-flying, powerful tee shots. Diamond Face 2.0 / Cup Face Technology - The Hot Launch E522 Driver features Diamond Face 2.0 technology with 42 different thick and thin diamond shapes behind the face of the metals for an enhanced sweet spot. Different variables of thick and thin diamond shapes or  mini-trampolines  behind the face combine with a Cup Face construction to produce greater face flex, faster ball speeds and better performance on off-center hits. Heel Weighted/Slice Fighting Offset/Shallow Face Designs - Offset designs are combined with a heel sole weight to provide the ultimate in slice fighting technology. The strategically placed heel draw-bias weight allows the face to square up at impact for straighter ball flight that helps golfers avoid the right side of the course. A super-shallow face design produces higher launch angles and extreme ease of launch. Control Length Shafts - A Control Length Shaft system means optimized, shorter shaft lengths that were designed specifically for the E522 Driver to greatly improve accuracy, control and to offer maxed out Smash Factor ratings for the club head. The Control Length Shaft leads to more players hitting the center of the clubface. Premium Mitsubishi Fubuki HL Shaft - The E522 Driver comes stock with super-light FUBUKI HL graphite shafts by Mitsubishi Chemical that range from 45-grams to 55-grams depending on the flex. Stock Shaft - Mitsubishi Fubuki HL (50-gram A-Flex, 50-gram Regular Flex, 55-gram Stiff Flex). Grip - Lamkin Z5 Rubber available in Undersize, Standard and Midsize.  Club Specifications:     Club Loft Lie Length     Driver 10.5  60  44.50""   Driver 12  60  44.50""   HL Driver 15  60  44.50""",1043,Sporting Goods > Outdoor Recreation > Golf,https://worldwidegolf.vteximg.com.br/arquivos/ids/9585715_2,"Sports;Sports/Golf;Sports/Golf/Drivers, Woods & Hybrids;",249.99,USD,219.99,219.99,TRUE,,Tour Edge,Tour Edge,841538148488,841538148488,841538148488,,,,new,http://tracking.searchmarketing.com/click.asp?aid=520008760000928425,https://track.flexlinks.com/p.ashx?foc=101&fopid=1336554.213318.2.AB88E2261667EF7F.8D630DF7BD17E1B3.841538148488
43752,161802.156074.AEDE266FF88FCAD6.51A9E6C18AB6F1C3.054065721233,HO Syndicate Good Times Hoodie,,HO Syndicate Good Times Hoodie,,,https://images.the-house.com/ho-syndicate-good-times-hoodie-blue-21-thumb.jpg,Clothing;Clothing/Hoodies & Sweatshirts;,100,,54.91,54.91,TRUE,,,HO,20500161,,54065721233,Blue,,,New,https://www.the-house.com/hosgtmbsma226zz-ho-hoodies,https://track.flexlinks.com/p.ashx?foc=101&fopid=1336554.161802.156074.AEDE266FF88FCAD6.51A9E6C18AB6F1C3.054065721233
92249,161542.2.3C668703B2FD3962.74B01BC2E2BD1D70.PY-A-8794,"Diana 1 Rings, Medium, 3/8 Dovetail, 2 Screws/Cap",,"<p><strong>Diana 1&quot; Rings, Medium, 3/8&quot; Dovetail, 2 Screws/Cap</strong></p>    1&quot; rings  Medium profile  Fits 3/8&quot; dovetail  2 screws/cap   <p>&nbsp;</p>",5543,Cameras & Optics > Camera & Optic Accessories > Optic Accessories > Weapon Scope & Sight Accessories,https://www.pyramydair.com/images/acc/PY-A-8794_Diana-1-Rings-Medium_1539808875.jpg,"Guns, Ammo & Optics;Guns, Ammo & Optics/Gun Parts & Kits;Guns, Ammo & Optics/Gun Parts & Kits/Gun Parts;",14.99,USD,9.99,9.99,TRUE,,Diana,Diana,RD1M2,,PY-A-8794,,,,new,https://www.pyramydair.com/product/diana-1-rings-medium-3-8-dovetail-2-screws-cap?a=8794,https://track.flexlinks.com/p.ashx?foc=101&fopid=1336554.161542.2.3C668703B2FD3962.74B01BC2E2BD1D70.PY-A-8794
20708,185820.156074.2CC37263ACDC24EF.E2B151699C1FA11B.134755695,"Under Armour Men's Rival Fleece Hoodie Green, Small - Men's Athletic Fleece at Academy Sports",,"The Under Armour Men's Rival Fleece Hoodie is made from 80% cotton, and displays a stylish graphic. Under Armour Men's Rival Fleece Hoodie Green, Small - Men's Athletic Fleece at Academy Sports",203,Apparel & Accessories > Clothing > Outerwear,https://academy.scene7.com/is/image/academy/20927243?wid=800&hei=800,Clothing;Clothing/Hoodies & Sweatshirts;,60,,41.96,41.96,TRUE,,,Under Armour,1376337-716,196039602091,134755695,Green,,,New,https://www.academy.com/p/under-armor-mens-rival-fleece-hoodie?sku=green-medium-01-small,https://track.flexlinks.com/p.ashx?foc=101&fopid=1336554.185820.156074.2CC37263ACDC24EF.E2B151699C1FA11B.134755695
24423,160704.156074.7F09681D42B6E4A8.8869DEFB107B21EE.913100992,Uberti Cartridge Carrier,,CARTRIDGE CARRIER Mfg: Uberti,5067,Mature > Weapons > Gun Care & Accessories > Gun Lights,https://www.brownells.com/userdocs/skus/p_913100992_2.jpg,"Guns, Ammo & Optics;Guns, Ammo & Optics/Gun Accessories;Guns, Ammo & Optics/Gun Accessories/Other Gun Accessories;",70.49,,37.59,37.59,TRUE,,,Uberti,7200007,857466002228,913100992,,,,New,https://www.brownells.com/rifle-parts/receiver-parts/receiver-hardware/lifter-parts/cartridge-carrier-sku913100992-28739-59882.aspx,https://track.flexlinks.com/p.ashx?foc=101&fopid=1336554.160704.156074.7F09681D42B6E4A8.8869DEFB107B21EE.913100992
28575,161802.156074.AEDE266FF88FCAD6.9F564F0FE77AC89C.7040056020006,Helly Hansen Legendary Insulated Ski Pants,,Helly Hansen Legendary Insulated Ski Pants,204,Apparel & Accessories > Clothing > Pants,https://images.the-house.com/helly-hansen-legendary-insulated-pants-blue-fog-23-0-thumb.jpg,Winter Sports;Winter Sports/Winter Sports Pants;,200,,149.95,149.95,TRUE,,,Helly Hansen,65704_625-XXL,,7040056020006,Blue Fog,,,New,https://www.the-house.com/ss005243zz-helly-hansen-ski-pants,https://track.flexlinks.com/p.ashx?foc=101&fopid=1336554.161802.156074.AEDE266FF88FCAD6.9F564F0FE77AC89C.7040056020006
82405,163572.156074.BE8E64811E10C72A.A1C07380B0ED749D.7431318,Sorel Men's Carson Moc WP Boot - 9 - Coal / Oatmeal,,Features of the Sorel Men's Carson Moc WP Boot Carson collection extends the reach of SOREL capability in men's utility for the street and beyond Upper: Combination waterproof full grain leather and suede with waterproof canvas shaft Textile lining Seam-sealed waterproof construction Laces Are not waterproof Footbed: Removable die-cut TPU foam with textile topcover Outsole: Molded rubber Rubber welt detail,,,https://s7ondemand1.scene7.com/is/image/MoosejawMB/10579918x1264774_zm?$product1000$,Footwear;Footwear/Boots;,165,,123.99,123.99,TRUE,,,Sorel,2009711048,194895813514,7431318,Coal/Oatmeal,male,9,New,https://www.moosejaw.com/product/sorel-men-s-carson-moc-wp-boot_10579918,https://track.flexlinks.com/p.ashx?foc=101&fopid=1336554.163572.156074.BE8E64811E10C72A.A1C07380B0ED749D.7431318
37947,161802.156074.AEDE266FF88FCAD6.9F98245A9AA0D369.054065758901,Hyperlite Riot Loaded Wakeboard,,"Loaded Construction marks the dawn of the most advanced construction ever offered in the wake industry. Utilizing Proprietary materials and manufacturing processes, Loaded Construction delivers the lightest and most responsive wakeboard to date, a perfect match for Noah';s RIOT signature wakeboard shape. The RIOT project began as Noah was looking for a shape that would transition quickly from edge to edge, build speed on approach and release cleanly from the wake to initiate every trick. The Variable Edge Design sharpens over the last 10 inches providing the speed and clean release.  Between the inserts the bevel is enhanced, delivering the forgiveness needed when learning new tricks. The RIOT incorporates the thinnest profile ever seen for hitting the wake and swing weight is truly minimal. This profile also provides a lively feel as the board has some flex creating massive pop. Loaded Construction  3K Carbon Top & Base   Abrupt Continuous Rocker  Molded Landing Feature  Monocoque Construction  Layered Glass  Minimum Swing Weight Profile  Dual Concave Base  Concave Tip / Tail Base Design  Variable Edge Design  Shaper: Aaron Stumpf   M6 Inserts   Fins:  4-Pack - .7 SS Beam",,,https://images.the-house.com/hyperlite-riot-loaded-wakeboard-black-23-0-thumb.jpg,Water Sports;Water Sports/Water Sports Equipment;,1010,,899.99,899.99,TRUE,,,Hyperlite,23200002,,54065758901,Black,,,New,https://www.the-house.com/hyrlmb139895zz-hyperlite-wakeboards,https://track.flexlinks.com/p.ashx?foc=101&fopid=1336554.161802.156074.AEDE266FF88FCAD6.9F98245A9AA0D369.054065758901
16819,185820.156074.2CC37263ACDC24EF.406EF9C28265DD0E.131310560,"Pets First Auburn University Dog Collar, Small - NCAA Novelty at Academy Sports",,"The Pets First Auburn University Dog Collar features a woven team-themed design and a 100% nylon web construction. Pets First Auburn University Dog Collar, Small - NCAA Novelty at Academy Sports",3865,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Sports Collectibles,https://academy.scene7.com/is/image/academy/20770147?wid=800&hei=800,Hunting & Shooting;Hunting & Shooting/Dog Supplies & Equipment;,17,,12.99,12.99,TRUE,,,Pets First,AU-3036-SM,849790039490,131310560,Multicolor,,,New,https://www.academy.com/p/pets-first-auburn-university-dog-collar?sku=multi-small-auburn-tigers,https://track.flexlinks.com/p.ashx?foc=101&fopid=1336554.185820.156074.2CC37263ACDC24EF.406EF9C28265DD0E.131310560
34349,161802.156074.AEDE266FF88FCAD6.F88F73C816EFA056.810090331126,Telos Chillum Snowboard,,"Haven’t you always wanted an all-mountain freestyle board that is both at home in the park and pipe as it is in the backcountry? The Chillum is an all-mountain freestyle board with tons of pop and perfect for park, jumps, pipe or trekking into the backcountry with your crew to build the biggest, baddest jumps. Carbon Springs™ technology exponentially multiplies preload from the core, giving you more pop than you’ll ever need. The perfectly matched camber coupled with built-in RAD bumps are designed to distribute pressure evenly along the edge when you need it most. This is imperative for those times where you are locking onto a rail or you don’t quite stick your landing and need the extra stability to come out on the other end. Core: Poplar & X-Wood w/ Carbon Springs  Base: Diecut Black Sintered PTex 4000  Fiberglass: Triax Top/Bottom  Sidewall: Polyurethane  Top: Direct Digital Print  Finishing: Ceramic Edge Tune, Al Tail Protector  Additional: Full Wrapped Edge, Laser Etched Sidewall  Shape: Custom Twin  Camber: Mini Dual Camber  Flex: 7/10",,,https://images.the-house.com/telos-chillum-snowboard-23-0-thumb.jpg,Winter Sports;Winter Sports/Snowboarding;Winter Sports/Snowboarding/Snowboards;,629.95,,535.95,535.95,TRUE,,,Telos,,,810090331126,,,,New,https://www.the-house.com/techm146zz-telos-snowboards,https://track.flexlinks.com/p.ashx?foc=101&fopid=1336554.161802.156074.AEDE266FF88FCAD6.F88F73C816EFA056.810090331126
11194,185857.156052.20C5.F2C05F7635B95D78.4425956,"Nike Men's Victory Tour 2 Golf Shoes in Black/White/Cool Gry, Size 8.5 Men's / 10 Womens",,"html-body [data-pb-style=QABSK2T]{justify-content:flex-start;display:flex;flex-direction:column;background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll}The updated, waterproof Nike Air Zoom Victory Tour 2 Golf Shoes pair cutting-edge innovation to a classic silhouette. When it comes to comfort, Nike pulled out all the stops with the Victory Tour 2. Instead of setting the Zoom Air unit in foam, Nike stitched it directly into the upper so it responds to every step. Beneath the Air unit, a full-length plate increases stability, in addition to returning energy. Finally, Nike's proprietary React foam is located under the heel to deliver an extremely smooth ride. The Victory Tour 2 is a legitimate Tour shoe, and as such, traction is paramount. Using a data-driven design, Nike strategically placed 7 removable spikes among an integrated traction pattern for top-notch gripping power, regardless of underfoot conditions. Nike backs the Air Zoom Victory Tour 2 with a 2-year waterproof warranty. Nike Air Zoom Victory Tour 2 Golf Shoes - Black/Black/White Feature: Waterproof full-grain leather upper has a supple feel and a sophisticated look Internal strap stretches over your foot, conforming to its shape, then locks you in Zoom Air unit stitched into the upper for added response Full-length plate beneath the Air increases stability and returns energy Nike React foam under the heel delivers an extremely smooth ride Hybrid outsole combines integrated traction with 7 removable spikes for optimal grip in a variety of conditions Internal foam pods cushion your heel Molded heel cup helps support your foot Style Number: Medium DJ6569-001  DJ6570-001 2-Year Waterproof Warranty Authorized Nike Retailer Nike Victory Tour Golf Shoes | Nike Men's Victory Tour 2 Golf Shoes in Black/White/Cool Gry, Size 8.5 Men's / 10 Womens",1933,Apparel & Accessories > Shoe Accessories,https://www.carlsgolfland.com/media/catalog/product/n/i/nike_air_zoom_victory_tour_2_golf_shoes_dj6569_001_hero.jpg,Sports;Sports/Golf;Sports/Golf/Golf Shoes;,179.99,USD,119.99,119.99,TRUE,,Nike,Nike,4425956,,4425956,Black/White/Cool Gry,,8.5 Mens / 10 Womens,New,https://www.carlsgolfland.com/nike-air-zoom-victory-tour-2-golf-shoes-black-black-white?product=169824,https://track.flexlinks.com/p.ashx?foc=101&fopid=1336554.185857.156052.20C5.F2C05F7635B95D78.4425956
22670,185820.156074.2CC37263ACDC24EF.C321E1A0FA7BFA0C.132708916,"Adidas M Feel Cozy SWT Pullover Yellow Light, Medium - Men's Athletic Fleece at Academy Sports",,"The adidas Men's Feel Cozy Fleece Pullover Sweatshirt is made with cotton and polyester fleece material and features ribbed hems. Adidas M Feel Cozy SWT Pullover Yellow Light, Medium - Men's Athletic Fleece at Academy Sports",203,Apparel & Accessories > Clothing > Outerwear,https://academy.scene7.com/is/image/academy/20900533?wid=800&hei=800,Clothing;Clothing/Hoodies & Sweatshirts;,45,,31.5,31.5,TRUE,,,Adidas,HL2285,195746949413,132708916,Yellow Light,,,New,https://www.academy.com/p/adidas-m-feel-cozy-swt-pullover?sku=yellow-light-01-medium,https://track.flexlinks.com/p.ashx?foc=101&fopid=1336554.185820.156074.2CC37263ACDC24EF.C321E1A0FA7BFA0C.132708916
97458,213318.2.AB88E2261667EF7F.D126A779DE34341F.4994857014159,Cleveland RTX Zipcore Tour Satin Wedge 13016420- Left-Handed Mid Grind,,"Revolutions need revolutionary technology, so we tore our flagship RTX wedge down to its core and rebuilt it from the inside out. This is the RTX ZipCore wedge. Featuring our new ZipCore technology, UltiZip Grooves, and a new heat treatment process, the RTX ZipCore delivers enhanced control, more spin, and unmatched durability to last you round after round.ZipCore - ZipCore is a unique, low-density core that sits at the heart of RTX. ZipCore shifts the center of gravity while raising MOI, adding spin, enhancing control, and boosting consistency on all your shots.Ultzip Grooves - These new grooves are sharper, deeper, and narrower. They bite harder, channel more debris, and they re closer together for more groove contact on every shot.New Heat Treatment - A measured, timed blast of heat does wonders for a wedge s durability. Ultimately, this new heat treatment process ensures that you ll love your RTX ZipCore round after round.",1043,Sporting Goods > Outdoor Recreation > Golf,https://worldwidegolf.vteximg.com.br/arquivos/ids/9492542_2,Sports;Sports/Golf;Sports/Golf/Wedges;,149.99,USD,119.99,119.99,TRUE,,Cleveland,Cleveland,4994857014159,4994857014159,4994857014159,,,,new,http://tracking.searchmarketing.com/click.asp?aid=520008760000832484,https://track.flexlinks.com/p.ashx?foc=101&fopid=1336554.213318.2.AB88E2261667EF7F.D126A779DE34341F.4994857014159
515,168622.1.9610.E140A6CEB902EC91.ZMA-0148-7,Z-Man CrosseyeZ Snakehead Swim Jig - 3/8oz - Pearl Ghost,"Z-Man CrossEyez Snakehead Swim jigs are designed by jig fishing savant David Walker and are the latest installment in the Z-Man CrossEyeZ Jig lineup. This swim Jig features a head design modeled after that of a snake to allow it to come through grass and cover easily. Featuring nothing but the best components and construction made from a super-hard virgin lead that prevents denting and paint chipping. Made with a heavy duty 4/0 VMC flipping hook, along with a molded plastic split-grip keeper tha","Z-Man CrossEyez Snakehead Swim jigs are designed by jig fishing savant David Walker and are the latest installment in the Z-Man CrossEyeZ Jig lineup. This swim Jig features a head design modeled after that of a snake to allow it to come through grass and cover easily. Featuring nothing but the best components and construction made from a super-hard virgin lead that prevents denting and paint chipping. Made with a heavy duty 4/0 VMC flipping hook, along with a molded plastic split-grip keeper that grips all types of plastic trailers securely without affecting the perfect balance of the jig. The skirt patterns are designed by David himself and hand-tied with copper wire for extreme longevity. The flat underside allows the jig to plane up on the retrieve, allowing the use of heavier weights for longer casts. Snake head shape4/0 heavy-duty, black nickel VMC hook100% silicone skirts in an array of popular patterns hand-tied with copper wireSplit grip keeper",3603,Sporting Goods > Outdoor Recreation > Fishing > Fishing Tackle > Fishing Baits & Lures,https://i.tackledirect.com/images/imgfull/z-man-crosseyez-snakehead-swim-jig-3-8oz-zma-0148-7.jpg,Fishing;Fishing/Lures & Baits;,4.99,USD,3.69,3.69,TRUE,,Z-Man,Z-Man,CESJ38-07,897744004803,ZMA-0148-7,,,,,https://www.tackledirect.com/z-man-crosseyez-snakehead-swim-jigs.html?mainc=z-man-crosseyez-snakehead-swim-jig-3-8oz&subc=ZMA-0148-7,https://track.flexlinks.com/p.ashx?foc=101&fopid=1336554.168622.1.9610.E140A6CEB902EC91.ZMA-0148-7
2227,168622.1.9610.3B86E5BD226EAFB3.OTI-5103-8G,Ocean Tackle Raptor Glow Assist Hook - 8/0,"Ocean Tackle Raptor Assist Hooks - Glow are sabiki style raptor assist hooks that share the same features as the standard assist hooks, but with unique iridescent glow in the dark fish skin with sparkle thread. Disguises hooks for visually effective daytime and nighttime jigging.","Ocean Tackle Raptor Assist Hooks - Glow are sabiki style raptor assist hooks that share the same features as the standard assist hooks, but with unique iridescent glow in the dark fish skin with sparkle thread. Disguises hooks for visually effective daytime and nighttime jigging.",3359,Sporting Goods > Outdoor Recreation > Fishing > Fishing Tackle > Fishing Hooks,https://i.tackledirect.com/images/imgfull/ocean-tackle-raptor-glow-assist-hook-8-0.jpg,Fishing;Fishing/Terminal Tackle;,10.99,USD,9.89,9.89,TRUE,,Ocean Tackle International,Ocean Tackle International,OTI-5103-8G,810679012347,OTI-5103-8G,,,,,https://www.tackledirect.com/ocean-tackle-raptor-glow-assist-hook-8-0.html,https://track.flexlinks.com/p.ashx?foc=101&fopid=1336554.168622.1.9610.3B86E5BD226EAFB3.OTI-5103-8G
46001,163572.156074.BE8E64811E10C72A.224D8A43C67DA4C8.4027452,Yakima FlushBar Roof Rack System,,"The Yakima FlushBar Roof Rack System is a rack system for carrying your toys along for the road trip. The bars feature integrated towers, allowing for no overhang and a sleek, classy look. The flat shape reduces noise and looks good up on the roof. Kayak, cargo box, bike and more, it's time for adventure. Features of the Yakima FlushBar Roof Rack System Sleek tower design is integrated into the crossbar for a seamless appearance Teardrop shaped, with a WindRidge on the leading edge, the crossbar profile is designed to control air flow and optimize aerodynamics SmartFill T-slot Technology Uses a push-down infill for easy gear mount attachment and uninterrupted airflow over the entire length of the crossbar Used in combination with vehicle-specific Fitting kits Includes 1 FlushBar plus towers",,,https://s7ondemand1.scene7.com/is/image/MoosejawMB/10341713x1012905_zm?$product1000$,Auto;Auto/Jeep Parts & Accessories;,249,,186.99,186.99,TRUE,,,Yakima,8000454,736745004545,4027452,Black,unisex,XS,New,https://www.moosejaw.com/product/yakima-flushbar-roof-rack-system_10341713,https://track.flexlinks.com/p.ashx?foc=101&fopid=1336554.163572.156074.BE8E64811E10C72A.224D8A43C67DA4C8.4027452
88055,159802.156099.34B.C2FC6FCABB4BB78E.2079092,Nike Men's Short-Sleeve Hydroguard Swim Shirt,,"The Nike Swim Shirt offers sun protection and sweat-wicking technology to help you dry off fast and stay comfortable in or out of the water.. .  . . .  Nike Dri-FIT technology moves sweat away from your skin for quicker evaporation, helping you stay dry and comfortable..  This product provides UVA and UVB protection from the sun only in the areas covered by the garment. To protect exposed areas, the use of good quality sunscreen is recommended..  Standard fit for a relaxed, easy feel.  100% polyester.  Machine wash.  Imported.",166,Apparel & Accessories,https://res.cloudinary.com/eastern/image/upload/2079092_101_main.jpg,Clothing;Clothing/Shirts & Tops;Clothing/Shirts & Tops/Performance Tops;,50,,45,45,TRUE,,Nike,Nike,NESSA587,,2079092,,,L,,,https://track.flexlinks.com/p.ashx?foc=101&fopid=1336554.159802.156099.34B.C2FC6FCABB4BB78E.2079092
